"Installed modules","Modules installés"
"Modules report","Rapport des modules"
"Modules list","Liste des modules"
"Search the last version","Chercher la dernière version"
"Update notification by email","Notification de mise à jour par email"
"Separate addresses by a space.","Séparer les adresses par un espace."
"Installed modules / Tools / Magento Admin","Modules installés / Outils / Admin Magento"
"Module name","Nom du module"
"Job","Tâche"
" Enabled","Activée"
" Disabled","Désactivée"
"Installed version","Version installée"
"Last version","Dernière version"
"Latest version of","Dernière version du"
"Up to date","À jour"
"To update","À mettre à jour"
"Beta","Bêta"
"Conflict","Conflit"
"Can not send the report by email to %s.","Impossible d'envoyer le rapport par email à %s."
"Search module name in all lists","Chercher le nom d'un module dans toutes les listes"
"Cron jobs list","Liste des tâches cron"
"Observers list","Liste des observeurs"
"Rewrites list","Liste des surcharges"
