"Installed modules","Installierte Module"
"Modules report","Bericht der Module"
"Modules list","Liste der Module"
"Search the latest version","Die letzte Version suchen"
"Update notification by email","Aktualisierungsbenachrichtigung per E-Mail"
"Separate addresses by a space.","E-Mail-Adressen durch einen Abstand trennen."
"Send an email now","Jetzt eine E-Mail senden"
"Module name","Name des Moduls"
"Job","Task"
" Enabled","Aktiviert"
" Disabled","Deaktiviert"
"Installed version","Version installiert"
"Latest version","Letzte Version"
"Latest version of","Letzte Version vom"
"Up to date","Neuer Stand"
"To update","Neu aktualisieren"
"Source","Quelle"
"Destination","Ziel"
"Conflict","Konflikt"
"Can not send the report by email to %s.","Unmöglich den Bericht per E-Mail zu senden bei %s."
"Cron jobs list","Kron-Taskliste"
"Observers list","Observersliste"
"Rewrites list","Überlastungsliste"
