"Installed modules","Modules installés"
"Modules report","Rapport des modules"
"Modules list","Liste des modules"
"Search the latest version","Chercher la dernière version"
"Update notification by email","Notification de mise à jour par email"
"Separate addresses by a space.","Séparer les adresses par un espace."
"Send an email now","Envoyer un email maintenant"
"Module name","Nom du module"
"Job","Tâche"
" Enabled","Activée"
" Disabled","Désactivée"
"Installed version","Version installée"
"Latest version","Dernière version"
"Latest version of","Dernière version du"
"Up to date","À jour"
"To update","À mettre à jour"
"Beta","Bêta"
"Event","Évènement"
"Conflict","Conflit"
"%s kB","%s ko"
"%s MB","%s Mo"
"%s GB","%s Go"
"Can not send the report by email to %s.","Impossible d'envoyer le rapport par email à %s."
"Cron jobs list","Liste des tâches cron"
"Observers list","Liste des observeurs"
"Rewrites list","Liste des surcharges"
